Date,Tool,Cost Bought,Sold Val,Profit Made,Sold Date,Shipping Info,Notes,Starting Price,HighestShip Num:,310,,,,,,
,Brown and Sharpe Feeler Gauge Set 647,,,,,,,,,,,,,,,
,HSS Blanks ~18Lbs,,,,,,,,,,,,,,,
,Stanley 136,,,,,,,,,,,,,,,
,Letter Punch Set,,,,,,,,,,,,,,,
,Edge Finder ,,,,,,,,,,,,,,,
,2 Starret Jacks Only 191A,,,,,,,,,,,,,,,
,2 General Machinist's Jacks W/   Box No. 7,,,,,,,,,,,,,,,
,2 General Machinist's Jacks W/O Box No. 7,,,,,,,,,,,,,,,
,Unmarked Machinist's Jack,,,,,,,,,,,,,,,
,Chaparral 1/16-3/8 Chuck Model C-38-3-1,,,,,,3/8-24 Thread,,,,,,,,,
,Supreme 0-1/4 Chuck 1T,,,,,,,,,,,,,,,
,Unmarked 1/16-3/8 Drill Chuck,,,,,,3/8-24 Thread,,,,,,,,,
,"PYH 1/2"" Keyless Chuck",,,,,,,,,,,,,,,
,Starrett Center Finder Complete S-828H,,,,,,,,,,,,,,,
,Craftsman Tap Wrench,,,,,,,,,,,,,,,
,2 Starrett Protractor? No 12 (490?),,,,,,,,,,,,,,,
,6 Brown and Sharpe #7 Collets,,,,,,,,,,,,,,,
,7 Brown and Sharpe 00 Collets,,,,,,,,,,,,,,,
,5 MT2 Collets,,,,,,,,,,,,,,,
,Desmond Wheel Dresser No 0,,,,,,,,,,,,,,,
,Cal-Van Metric and SAE Hex Wench Sets,,,,,,,,,,,,,,,
,"Buck Bros 1/4"" Chisel",,,,,,,,,,,,,,,
,"Buck Bros 1/2"" Chisel",,,,,,,,,,,,,,,
,"Buck Bros 1/2"" Chisel",,,,,,,,,,,,,,,
,"Buck Bros 3/4"" Chisel",,,,,,,,,,,,,,,
,"Buck Bros  1 1/4"" Chisel",,,,,,,,,,,,,,,
,"Stanley SH 1/8"" Chisel",,,,,,,,,,,,,,,
,"Stanley SH 1/4"" Chisel",,,,,,,,,,,,,,,
,"Federal Dial Indicator .0005"" J6K",,,,,,,,,,,,,,,
,"Federal Dial Indicator .0005"" C5M",,,,,,,,,,,,,,,
,"Federal Dial Indicator .001""  CD1",,,,,,,,,,,,,,,
,"Lathe Dog 1 1/2""",,,,,,,,,,,,,,,
,"Lathe Dog 1 1/2""",,,,,,,,,,,,,,,
,3 D-Bit 17/32,,,,,,MT2,,,,,,,,,
,2 D-Bit 9/16,,,,,,MT2,,,,,,,,,
,D-Bit 9/16,,,,,,Straight Shank,,,,,,,,,
,D-Bit 21/32,,,,,,Straight Shank,,,,,,,,,
,D-Bit 5/8,,,,,,Straight Shank,,,,,,,,,
,2 D-Bit 5/8,,,,,,MT2,,,,,,,,,
,D-Bit 11/16,,,,,,To Uncle John,,,,,,,,,
,D-Bit 13/16,,,,,,,,,,,,,,,
,D-Bit 15/16,,,,,,,,,,,,,,,
,2 D-Bit 1,,,,,,,,,,,,,,,
,D-Bit 1 1/8,,,,,,,,,,,,,,,
,D-Bit 1 3/16,,,,,,,,,,,,,,,
,D-Bit 1 1/4,,,,,,,,,,,,,,,
,Spanner Wrench,,,,,,,,,,,,,,,
,Stanley Hand Drill 617,,,,,,,,,,,,,,,
,Stanley Spokeshave 151,,,,,,Made in England,,,,,,,,,
,Brown and Sharpe Mic 599-1,,,,,,Original Case and Box,,,,,,,,,
,Lufkin Mic 1641,,,,,,,,,,,,,,,
,Spyderco Stones,,,,,,W/ Leather Case,,,,,,,,,
,4 Starrett Telescoping Bore Gauges,,,,,,,,,,,,,,,
,6 Lufkin Telescoping Bore Gauges,,,,,,,,,,,,,,,
,Starrett Bore Gauge Set of 3 829-D,,,,,,,,,,,,,,,
,Companion Round Edge Slip Stone 6829,,,,,,,,,,,,,,,
,Asstd. Norton India Stones,,,,,,,,,,,,,,,
,3 Sided Arkansas Stone Sharpening Block,,,,,,,,,,,,,,,
,Starrett 711?,,,,,,,,,,,,,,,
,Starrett Last Word (Older),,,,,,,,,,,,,,,
,Starrett Last Word (Newer),,,,,,,,,,,,,,,
,Lufkin Depth Mic 513,,,,,,,,,,,,,,,
,"Starrett 4"" Level",,,,,,,,,,,,,,,
,Starrett Adj. Parallels 154-D,,,,,,,,,,,,,,,
9/16,Dayton 8 Ton Bottle Jack,4,,,,,,,,,,,,,,
,Lot 2 Stanley Planes,15,145.5,130.5,,,,,,,,,,,,
,Stanley SH 192,,13,,5/26/21,61,,,,,,,,,,
,"Stanley 148 (146 3/8""?)",,132.5,,3/11/21,107,"3lbs,11x7x3",,,,,,,,,
9/20,Snap On 1948 3/8 Speed Wrench,,,,,,,,,,,,,,,
10/15,Arbor Press No 2,50,,,,,"Lako Engineering, Louie",,,,,,,,,
,Spin Indexer,50,45,-5,2/2/21,53,,50,,,,,,,,
,T-Slot Hold-down Clamps,40,,,,,,,,,,,,,,
,B Surface Plate,50,,,,,,,,,,,,,,
,"Mitutoyo 12"" Height Gauge",50,,,,,,,,,,,,,,
,"Detroit test indicator .0005""",40,,,,,,,,,,,,,,
10/23,Test Indicator Hardware,25,,,,,,,,,,,,,,
,1 7/8 Williams Socket,10,,,,,,,,,,,,,,
,Oiler,5,,,,,,,,,,,,,,
,"45 45 90, & 30 60 90 blocks",10,,,,,,,,,,,,,,
,Misc. angle blocks,20,,,,,,,,,,,,,,
11/2,(All 1 purchace),30,,,,,"F H Ayer Mfg. Chicago Heights, Bill on-site boss",,,,,,,,,
,3/4 18N Jacobs Super Chuck W/ MT4 + MT4-5 shank,,,,,,,,,,,,,,,
,Albrecht Chuck W/ MT5 Taper,,,,,,,,,,,,,,,
,Endmill holder? W/ MT5 Shank,,,,,,,,,,,,,,,
,Shako Live Center Set,,,,,,,,,,,,,,,
,(All 1 purchase) Asstd taps (all prices are for all comb.),80,429.18,349.18,,,,,,,,,,,,
,"3"" NPT",,69.69,,2/11/21,35,,80,,,,,,,,
,"2.5"" NPTF",,65,,2/15/21,36,,75,,,,,,,,
,"2"" NPT (Card)",,65,,2/15/21,37,,65,,,,,,,,
