Date,Tool,Cost Bought,Sold Val,Profit Made,Sold Date,Shipping Info,Notes,Starting Price,HighestShip Num:,310,,,,,,
,Timken 332A,,33.4,,,248-K,"13oz, 10x13x3",2,,,,,,,,
,Timken 344,,0,,,248-L,"2lbs (1lb, 1oz) 10x13x3",2,,,,,,,,
,Timken 363,,36.8,,,248-M,"14oz, 10x13x3",2,,,,,,,,
,Timken 365,,34.18,,,248-N,"2lb (1lb, 2oz), 10x13x3",2,,,,,,,,
,Timken 23256 CUP,,0,,,248-O,,1,,,,,,,,
,Timken 52400 52618 CUP and CONE,,36.61,,,248-P,"7lbs, 9x9x5",1,,,,,,,,
,"Timken 34300 CONE 34478 CUP 69845 ITEM 1, Grade 3",,24.78,,,248-Q,"4lbs, 12x8x4",1,,,,,,,,
,Timken 52618 52400,,-26.08,,,248-R,"7lbs, 10x10x5",1,,,,,,,,
,Timken HM212049,,-4.025,,,248-S,"4lbs, 11x9x4",1,,,,,,,,
,Timken HM212011,,21.5,,,248-T,"3lbs, 11x9x4",2,,,,,,,,
,Timken HM218210,,9.23,,,248-U,"3lbs, 11x9x4",2,,,,,,,,
,SKF 39520,,2.97,,,251-A,"2lbs, 11x9x4",1,,,,,,,,
,SKF 756A BF-25,,0,,,251-B,"9lbs, 16x12x7",2,,,,,,,,
,SKF N4078,,0,,,251-C,2lbs (1lb 8oz) 10x13x4,1,,,,,,,,
,SKF 39590,,1.67,,,251-D,3lbs (2lb 5oz) 10x13x5,1,,,,,,,,
,SKF HM212047 BF-25,,0,,,251-E,"5lbs, (4lb, 2oz) 12x8x4 ",2,,,,,,,,
,SKF 47620 BF-25,,3.82,,,251-F,"3lbs (2lbs, 7oz) 12x8x4",1,,,,,,,,
,SKF 752 BF-25 *** NO PICS,,0,,,251-G,"6lbs, 16x12x7",1,,,,,,,,
,SKF 6200 2ZJEM,,-8.4,,,251-H,"4oz, 5x8x2",2,,,,,,,,
,SKF 6005 2ZJEM,,21.77,,,251-I,"7oz, 6x10x3",6,,,,,,,,
,SKF 6203 2ZJEM (older RED packaging),,0.65,,,251-J,"6oz, 5x8x2",1,,,,,,,,
,SKF 6203 2ZJEM (newer BLUE packaging),,1.475,,,251-K,"6oz, 5x8x2",1,,,,,,,,
,SKF 6205 2RSJEM,,6.43,,,251-L,"9oz, 6x10x2",1,,,,,,,,
,SKF 6205 2RS1 C3 0E6,,5.71,,,251-M,"10oz, 6x10x3",1,,,,,,,,
,SKF 6205 2ZJEM,,3.085,,,251-N,"9oz, 6x10x3",1,,,,,,,,
,SKF 6206 2ZJEM,,59.4,,,251-O,"12oz, 6x10x3",7,,,,,,,,
,SKF 6207 2RSJEM (older RED packaging),,4.11,,,251-P,1lb (15oz) 6x10x3,2,,,,,,,,
,SKF 6207 2ZJEM,,21.5,,,251-Q,1lb 2oz 6x10x4,2,,,,,,,,
,****SKF 6207 RSJEM REVISIT!!!!***** (multiple different ones),,0,,,251-R,,4,,,,,,,,
,SKF 6304 JEM,,1.62,,,251-S,"10oz, 6x10x3",1,,,,,,,,
,SKF 6305 2ZJEM,,1.28,,,251-T,"13oz, 6x10x3",1,,,,,,,,
,SKF 6306 2ZJEM,,2.8,,,251-U,"1lb 3oz, 6x10x3",1,,,,,,,,
,SKF 6308 JEM,,3.01,,,251-V,"2lbs 12oz, 12x8x4",1,,,,,,,,
,SKF 6308 2ZJEM,,3.6,,,251-W,"2lb, 10oz, 12x8x4",1,,,,,,,,
,SKF 6210 JEM,,14.1,,,251-X,"2lbs 7oz, 12x8x4",2,,,,,,,,
,SKF 6012 2Z C3 HT51,,0,,,251-Y,"2lb 4oz, 12x8x4",2,,,,,,,,
,NSK 5202 JZZ,,0,,,252-A,"6oz, 6x10x3",4,,,,,,,,
,NSK 6201 ZZ C3,,0.65,,,252-B,"6oz, 6x10x3",1,,,,,,,,
,NSK 6202 VV C3,,5.7,,,252-C,"6oz, 6x10x3",1,,,,,,,,
,NSK 6202 ZZ C3,,10.67,,,252-D,"6oz, 6x10x3",3,,,,,,,,
,NSK 6203 625 VV C3,,16.68,,,252-E,"7oz, 6x10x3",4,,,,,,,,
,NSK 6908 DDU PA3AKCX,,7.73,,,252-F,"1lb 3oz, 10x13x5",2,,,,,,,,
,NSK 6305 ZZ C3,,10.36,,,252-G,"1lb 7oz, 8x8x6",2,,,,,,,,
,NSK 6306 ZZ C3,,5.35,,,252-H,"1lb 9oz, 8x8x6",1,,,,,,,,
,NSK 6207 VV C3,,0,,,252-I,"1lb 8oz, 8x8x6",1,,,,,,,,
,NSK 6208 VV C3,,3.65,,,252-J,"1lb 11oz, 8x8x6",1,,,,,,,,
,NSK 6009 ZZ CE,,3.28,,,252-K,"1lb 6oz, 8x8x5",1,,,,,,,,
,NSK 6211 VV C3,,4.5,,,252-L,"1lb 9oz, 10x8x7",1,,,,,,,,
,RBC HEIM RF102214PP,,80.96,,,253-A,"6oz, 6x10x3",9,,,,,,,,
,RBC IR7275,,0,,,253-B,"8oz, 6x10x3",1,,,,,,,,
,Consolidated CJ R-4-ZZ,,0,,,254-A,"3oz, 5x8x2",11,,,,,,,,
,Consolidated 61907-2RS,,14.41,,,254-B,"8oz, 6x10x3",3,,,,,,,,
,Torrington IR-182220,,0,,,255-A,"7oz, 6x10x3",1,,,,,,,,
,Torrington B-2220,,13.58,,,255-B,"8oz, 6x10x4",2,,,,,,,,
,General 77 R 8,,0.421,,,256-A,"4oz, 5x8x2",1,,,,,,,,
,****GET CONF PICS,,0,,,256-B,"2lb 4oz, 8x8x6",1,,,,,,,,
,FAG 6205 2ZR C3,,3.32,,,257-A,"10oz, 6x10x3",1,,,,,,,,
,FAG 6206 2ZR C3,,20.6,,,257-B,"13oz, 6x10x3",4,,,,,,,,
,Bower BCA A8 A-18,,0,,,258-A,1lb 5oz 8x8x6,2,,,,,,,,
,Aetna E 25,,7.15,,,259-A,"1lb 12oz, 8x8x6",1,,,,,,,,
,NDH Delco 5502,,4.85,,,260-A,"8oz, 6x10x3",1,,,,,,,,
,NDH Delco Z9507,,3.65,,,260-B,"1lb 6oz, 10x13x4",1,,,,,,,,
,NTN 6009 LLB C3 5C,,3.11,,,261-A,"1lb 4oz, 7x8x5",1,,,,,,,,
,NTN 6009 LLB 2AUI,,3.25,,,261-B,1lb 3oz 8x7x5,1,,,,,,,,
,NTN 6209 ZZ C3,,2.185,,,261-C,2lb 1oz 10x7x6,1,,,,,,,,
,"Seal Master Gold Line 2-24  2-1/4"" Bore",,84.4,,,262-A,"5lbs 2oz, 8x8x6",2,,,,,,,,
,Seal Master Gold Line ER-32,,132.79,,,262-B,4lb 4oz 8x8x6,4,,,,,,,,
,Seal Master Gold Line NP-12 3/4,,14.59,,,262-C,"2lb 10oz, 9x7x4",2,,,,,,,,
,Fafnir 1108KRR + Col Collar,,241.77,,,263-A,"2lb 8oz, 9x6x4",6,,,,,,,,
,Fafnir 205KDD,,27.09,,,263-B,"11oz, 6x10x3",6,,,,,,,,
,Fafnir 206P,,6.49,,,263-C,"1lb 3oz, 9x7x4",1,,,,,,,,
,****GET CONF PICS,,0,,,263-D,2lb 5oz 9x7x4,2,,,,,,,,
,Hyatt HM212011 CUP ***Get Pics,,0,,,,,,,,,,,,,
,Federal Mogul HM518410,,3.05,,,264-A,"2lb 8oz, 10x13x5",2,,,,,,,,
,Bower BCA 47620,,10.325,,,265-A,"2lb 4oz, 12x9x4",1,,,,,,,,
,Bower BCA HM516410,,3.1,,,265-B,"3lb 6oz, 14x11x6",1,,,,,,,,
,Bower BCA G5 213,,0,,,265-C,"3lb 8oz, 12x8x6",1,,,,,,,,
,,,,,,,,243,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Lot,20,,,,,,,,,,,,,,
,Armstrong Knurling Tool,,,,,,,,,,,,,,,
,2 Lathe Insert Holders,,,,,,,,,,,,,,,
,Precision Bevel Protractor + Case Made In Japan,35,,,,,,,,,,,,,,
,18% Buyer's Premium,20.7,,-20.7,,,,,,,,,,,,
,Tax,13.57,,-13.5,,,,,,,,,,,,
7/17/21,"Clausing 15"" DP Head Plate Replacement",61,,-61,,,,,,,,,,,,
7/30/21,3 - 15-Drawer  Parts Cabinets W/ Contents,10,,,,,Came with small carbide endmills!,,,,,,,,,
,High Voltage Probe,10,,,,,,,,,,,,,,
,"Helios 42"" Vernier Caliper W/ Case",50,,,,,,,,,,,,,,
8/1/21,1 1/2 Ton Napa Jack,45,,,,,,,,,,,,,,
,Misc Oxy-Acet Tools,140,,,,,,,,,,,,,,
8/4/21,Lot Astd Taps and Dies,10,,,,,,,,,,,,,,
,Lot Astd Tooling (4 live centers) lot 84A Maynards,37.5,25,-12.5,,,,,,,,,,,,
,"Knee Handle, 15/16"" Square Drive",,25,,7/26/22,162,"5lbs, 15x8x6",,,,,,,,,
,,,,,,,,,,,,,,,,
,"10"" 3-Jaw Hydraulic Chuck - MMK",25,,,,234,"96lbs, 15x14x9 (94lbs)",,,,,,,,,
,"10"" 3-Jaw Hydraulic Chuck - Strong",25,,,,233,"80lbs, 15x14x9 (77lbs)",RELABELED FROM 232,,,,,,,,
,"Lot Astd Lathe Tool Holders (10 insert holders) lot 392 Maynards,",45,,,,,,,,,,,,,,
,Lot Astd Carbide Endmills,80,,,,,,,,,,,,,,
,Lot Astd Carbide Endmills,80,,,,,,,,,,,,,,
,Lot Astd Taps,40,,,,,,,,,,,,,,
,Lot,60,0,-60,,,,,,,,,,,,
,3 Large Starrett Squares,,,,,,,,,,,,,,,
,Tap Die Set,,,,,152,"5lbs, 13x10x6",,,,,,,,,
,18%,72.45,,-72.45,,,,,,,,,,,,
,Tax,47.5,,-47.5,,,,,,,,,,,,
8/15/21,"Stanley Rule and Level Plow Plane, Millers Patent",55,76,21,3/4/22,108,"6lbs,16x12x7",,,,,,,,,
8/26/21,Victor Oxy-Acetylene Kit,60,200,140,4/1/23,,,,,,,,,,,
8/29/21,Makita Angle Grinder XAG06,80,,,,,Present for Bini,,,,,,,,,
,Battery for Angle Grinder (18V 5ah),50,,,,,,,,,,,,,,
9/12/21,"81 Pc. Gage Block Set, Grade 0, Complete",100,56,-44,9/21/22,87,,0.99A,,,,,,,,
9/15/21,Shipping Boxes,77,,-77,,,,,,,,,,,,
9/24/21,Anvil,20,,,,,,,,,,,,,,
,Lot,10,,,,,,,,,,,,,,
,Thor right angle drill,,,,,,,,,,,,,,,
,Soldering Wire,,,,,,,,,,,,,,,
,"Starrett 2"" micrometer",,,,,,,,,,,,,,,
,Variac,,,,,,,,,,,,,,,
,Lot,5,,,,,,,,,,,,,,
,Screwdriver,,,,,,,,,,,,,,,
,Weiss shears,,,,,,,,,,,,,,,
,Headphones,5,,,,,,,,,,,,,,
,Lot,5,,,,,,,,,,,,,,
,Strap wrench,,,,,,,,,,,,,,,
,Another Weiss shear,,,,,,,,,,,,,,,
,Brush,0.5,,,,,,,,,,,,,,
,Snap On Torque Wrench,40,,,,,From Chris Offer Up,,,,,,,,,
9/25/21,"Canon Rebel 6T + chargers, tripod, lens, macro HD lens, case, orig. box",90,,,,,,,,,,,,,,
10/17/21,Starrett Protractor,5,,,,,,,,,,,,,,
10/30/21,6 Planes,25,4,-21,,,,,,,,,,,,
,Sandusky Wooden Plane,,4,,4/14/22,131,"9lbs, 25x9x6",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10/31/21,"Craftsman-USA 5/16-1"" Combination Wrench Set",25,,,,,,,,,,,,,,
,Craftsman-USA 5-17mm Combination Wrench Set,35,,,,,,,,,,,,,,
,Dunlap Vise #5244 W/ Swivel Base,30,,,,,,,,,,,,,,
,Wen 930 Wood Planer,5,,,,,,,,,,,,,,
11/8/21,"Gear Wrench Set (10,12,13,14,15,17,  5/16, 3/8, 7/16, 1/2,  9/16, 5/8, 11/16, 3/4)",30,,,,88,,,,,,,,,,
12/7/21,Bosch 1198 VSR Hammer Drill,15,,,,90,,,,,,,,,,
,Lot,45,160.99,115.99,,,,,,,,,,,,
,3 Large Williams Super Wrenches,,150,,1/14/22,99,Added 1 superwrench and 1 Blackhawk Wrench from 12/16/21 Lot as well,,,,,"23lbs, 27x6x4",,,,
,"2 - 12"" Bar clamps Pittsburgh and Bessy",,10,,1/28/22,91,3.5lbs,,,,,,,,,
,"Coes Wrench 15""",,0.99,,1/26/22,92,,,,,,,,,,
,Snap On Timing Light,20,,,,,,,,,,,,,,
,Astd HSS & Brazed Carbide Lathe Bits,20,,,,,,,,,,,,,,
,Dumore Tool Post Grinder,100,,,,,,,,,,,,,,
,Lot 20 Adj Reamers,30,12.49,-17.51,,,,,,,,,,,,
,(19) 1Big 10Med 8Sm Astd Adj Reamers,,0.99,,,98,"22lbs, 22x6x8",,,,,,,,,
,"6 Morse Brass expansion Reamers (13/16. 7/8, 15/16, 1, 1 3/8, 1 1/2 (Cleveland))",,11.5,,3/4/22,105,"15lbs,16x7x5",,,,,,,,,
,More Adj. Reamers,5,,,,,,,,,,,,,,
,Set Evans Adj Reamers,,,,,101,"16lbs, 22x5x4",,,,,,,,,
,11 Misc Reamers (W/ Green tip waxed one),,,,,109,"12lbs,16x8x7",,,,,,,,,
,Lot Dial Indicators,50,,,,,,,,,,,,,,
,Central Dial Indicator W/ interchangable tips W/ Box,,19,,,111,"2lbs, 9x5x4",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,18%,,,,,,,,,,,,,,,
,Tax,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12/8/21,Lot Astd Carbide Endmills (30.5 lbs),90,,,,,,,,,,,,,,
,18% Buyers Pemium,16.2,,,,,,,,,,,,,,
,Tax,0,,,,,,,,,,,,,,
12/16/21,"18"" Crescent Wrench China and BlkHawk 1 1/2"" Wrench",25,5,-20,1/15/22,95,6lbs 20x6x3,,,,,,,,,
,2 Tool Boxes (2-drawer Kennedy and Test Rite),45,,,,,,,,,,,,,,
,40 Drawer Small Parts Cabinet,5,,,,,,,,,,,,,,
,Lot Astd Wrenches,15,36.98,21.98,,,,,,,,,,,,
,KMart Socket Set,,0.99,,3/3/22,93,"6lb, 16x2x5",,,,,,,,,
,Armstrong Wrenches,,35,,1/12/22,100,"5lb, 20x5x3",,,,,,,,,
,Astd Tiwan Wrenches - Kmart,,0.99,,3/3/22,102,"6lbs, 14x4x2",,,,,,,,,
,Lot Astd Universal Wrenches,,0,,,103,3lbs 12x6x2,Thrown Out,,,,,,,,
,Lot Sockets and Rachets/Breakers,15,,,,,,,,,,,,,,
,"Armstrong Armaloy 1/2"" Socket Set",,,,,,,,,,,,,,,
,12 Pc. Misc Sockets,,,,,123,"8lbs, 16x7x5",,,,,,,,,
,7 Large Astd Hex Wrenches,5,,,,,,,,,,,,,,
,Lot,350,530,180,,,,,,,,,,,,
,Harig Grind All No. 1,,480,,1/18/22,94,"18lbs, 11x11x9",,,,,,,,,
,Starrett 568 V-Block + clamp,,50,,2/7/22,97,"5lbs, 7x6x9",,,,,,,,,
,Bridgeport No. 2 R8 Boring Head,80,130,50,1/11/22,96,"7lbs, 9x5x5",,,,,,,,,
,4 Drill Indexes,15,,,,,,,,,,,,,,
,18%,99.9,,,,,,,,,,,,,,
,Tax,52.39,,,,,,,,,,,,,,
12/17/21,"Shop-Vac 5 Gal, 5.5 Peak HP",20,,,,,,,,,,,,,,
,18%,3.6,,,,,,,,,,,,,,
,Tax,0,,,,,,,,,,,,,,
1/6/22,16 Rolls Packing Tape,23.02,,-23.02,,,,,,,,,,,,
1/13/22,Mitutoyo 0-6 Micrometer Set,150,,,,,,,,,,,,,,
,Mitutoyo 6-12 Micrometer Set,200,,,,,,,,,,,,,,
,Buyer's Premium,63,,,,,,,,,,,,,,
,Lot,54.7,20,-34.7,,,,,,,,,,,,
,Mitutoyo 3-4,,,,,,,,,,,,,,,
,Brown and Sharpe 5-6,,,,,,,,,,,,,,,
,"Starrett 2-3 No, 436, 0.001, no rachet, no carbide tips",,20,,3/2/22,110,"2lbs,9x6x3",,,,,,,,,
1/18/22,Mitutoyo 1-2 Micrometer w/ Standard w/ Case,48.4,,,,,,,,,,,,,,
2/1,"3.091 + 3.905 + 4.4 Ft 4/4 Soft Maple Wormy, 2.85/ft",35.73,,,,,,,,,,,,,,
2/10,Mitutoyo Gauge Block Set A Grade - Incomplete,70,31.06,38.94,4/1/22,106,"9lbs, 16x12x7",,,,,,,,,
,"Gage block Set - Unbranded, Incomplete",10,,,,,,,,,,,,,,
,Lot 4 Astd Live Centers,150,,,,,Includes Skoda live center for set,,,,,,,,,
,Skoda Live Center Set,130,,,,,,,,,,,,,,
,Lot 6 Taft Pierce No. 192 (Ground) Angle Plates,220,450,230,,,,,,,,,,,,
,A,,130,,3/7/22,112,"16lbs, 12x8x8",112A,,,,,,,,
,B,,,,,113,"18lbs, 12x8x8",113B,,,,,,,,
,C,,100,,5/29/2022,114,"18lbs, 12x8x8",114C,,,,,,,,
,D,,100,,5/29/22,115,"18lbs, 12x8x8",115D,1,,,,,,,
,E,,,,,116,"18lbs, 16x8x7",116E,,,,,,,,
,F,,120,,3/2/22,117,"19lbs, 16x8x7",117F,,,,,,,,
,Royal Oak D-S Grinder,110,,,,,,,,,,,,,,
,Deltronic Pin Gauge Set,140,,,,,,,,,,,,,,
,Tax,73.48,,-73.48,,,,,,,,,,,,
,Premium,149.4,,-149.4,,,,,,,,,,,,
2/15,Lot,225,1033,808,,,,,,,,,,,,
,Royal Live Center Set MT4,,585,,4/19/22,118,"24lbs, 23x13x11",,,,,,,,,
,3 Extra Live Centers for Royal Set MT4,,20,,,121,"3lbs,7x6x3",,,,,,,,,
,4 Extra Live Centers for Royal Set MT4,,,,,122,"4lbs, 7x6x3",,,,,,,,,
,Cat 50 Tool Holder (?) Unknown (CAD?),,20,,3/26/22,124,"18lbs,16x12x7",,,,,,,,,
,"NOS Jacobs Chuck W/ box, 5-20mm, ,18-.80"", 36 & 3 MT",,51,,3/5/22,125,"4lbs,7x7x5",,,,,,,,,
,Hardinge Spindle Nose Cover - HLVH HLV-H TFB?,,35,,8/30/22,151,"2lbs, 8x8x6 (1.0lbs)",,,,,,,,,
,"National Twist Drill 31/32-1 3/8 Spade Drill, Series 2 EDP 75606 W/ 4 New 1"" Inserts (New)", ,125,,2/4/23,239,"3lbs, 11x8x6",,,,,,,,,
,Sandvik Coromant R166.4FG-123B (New) Tool Holder,,32,,1/15/22,240,"2lbs (1lb, 3oz) 6x8x4",,,,,,,,,
,Dorian MCLNL 12-4B Tool Holder (New),,105,,,241,"2lbs (1lb, 4oz) 6x8x4",Init Qty: 3,,,,,,,,
,Dorian MVJNL 12-3B Tool Holder (New),,25,,1/10/23,242,"2lbs (1lb, 4oz) 6x8x4",,,,,,,,,
,Canela CA-CLSR12-3B (New),,,,,243,"2lbs (1lb, 4oz) 6x8x4",Init Qty: 3,,,,,,,,
,Starrett 697 Head (A-Smooth Mvmnt),,35,,9/29/23,244,"2lbs (1lb, 5oz) 10x8x6",,,,,,,,,
,Starrett 697 Head (B-Gritty Mvmnt),,,,,245,"2lbs (1lb, 10oz) 10x8x6",,,,,,,,,
,Canela MDJNL 12-4B (Lightly Used),,,,,246,"2lbs (1lb, 4oz) 6x8x4",,,,,,,,,
,Lot Misc Pallet,400,1705,1305,,,,,,,,,,,,
,Do-All Granite Surface Plate Grade A,,,,,,,,,,,,,,,
,"Parallels(?) for Brown and Sharpe 18"" Chuck",,,,,149,"10lbs, 12x8x7",,,,,,,,,
,Harig Basic Head + Collets,,405,,6/23/22,147,"23lbs, 17x11x7",,,,,,,,,
,"Fowler Trimos Vertical 3, Model TSV-600",,1300,,7/11/22,132,"137.8lbs, 51x20x16",,,,,,,,,
,Tax,59,,-59,,,,,,,,,,,,
,Premium,112.5,,-112.5,,,,,,,,,,,,
2/16,Lot,100,510,410,,,,,,,,,,,,
,Royal 5C Collet Chuck A2-5,,500,,3/10/22,120,"14lbs, 9x9x9",,,,,,,,,
,3 Spindle Liners(?),,10,,3/26/22,119,"34lbs, 23x13x11",,,,,,,,,
,Fowler Trimos TRR401-ISO50 Tool Presetter,150,985,,4/8/22,126,"75lbs, 32x21x12",,,,,,,,,
,Tax,0,,0,,,,,,,,,,,,
,Buyer's Premium,45,,-45,,,,,,,,,,,,
3/2/22,Lumber 1x6-8 (Qty: 6 @  7.38) + tax,48.71,,-48.71,,,,,,,,,,,,
,"Williams 1"" Rachet",10,,,,,,,,,,,,,,
,Lot - 4 V-Blocks 2 Matched sets (1 set Taft Peirce),60,43,-17,,,,,,,,,,,,
,Shop-Made Matched V-Blocks (1020 Carb&Hdn) Set 1,,43,,,134,"17lbs,9x9x6",,,,,,,,,
,Taft Peirce Matched V-Block Set,,,,,,,,,,,,,,,
,Lot - 4 V-Blocks 2 Matched sets,45,73,28,,,,,,,,,,,,
,Shop-Made Matched V-Blocks w/Notch,,9,,6/14/22,133,"15lbs, 11x10x8",,,,,,,,,
,Shop-Made Matched V-Blocks (1020 Carb&Hdn) Set 2,,64,,6/4/22,135,"17lbs,9x9x6",,,,,,,,,
,Blake Co-Axial Indicator,,,,,,,,,,,,,,,
,Astd Dial Indicators,,,,,,,,,,,,,,,
,Starrett 124 Depth Gage Set,60,,,,,,,,,,,,,,
,18%,47.7,,-47.7,,,,,,,,,,,,
,Tax,31.27,,,,,,,,,,,,,,
3/24/22,Packing Tape,23.02,,-23.02,,,,,,,,,,,,
,Astd Screwdrivers,10,,,,,,,,,,,,,,
,Kincrome Wrench Set,25,,,,,,,,,,,,,,
,18%,7,,,,,,,,,,,,,,
,Tax,0,,,,,,,,,,,,,,
4/15,"IBM Selectric I 13"" Carriage",,,,,235,,,,,,,,,,
4/22,Craftsman 109 Metal Lathe,100,,,,,,,,,,,,,,
4/26,JB Prowler LD5000 Refrigerant Leak Detector,30,120,90,5/21/22,138,"7lbs, 19x17x9",,,,,,,,,
,"Bell & Gossett RO-2, V55690 Readout W/ Case",60,450,390,1/12/22,139,"19lbs,17x16x13",,,,,,,,,
,Marathon B302 Motor,25,50,25,1/15/22,137,"16lbs,15x9x8",,,,,,,,,
,McQay HAEQ5934 Motor,10,90,80,,136,"19lbs, 18x12x12",,,,,,,,,
,18%,22.5,,,,,,,,,,,,,,
,Tax,0,,,,,,,,,,,,,,
5/1,Makita 1100 Planer,70,,,,,,,,,,,,,,
,"Standard 3 1/2"" Vise",20,,,,,,,,,,,,,,
,"Wilton 5"" Vise (Not bullet)",15,65,50,2022,146,"20lbs, 17x11x10",,,,,,,,,
5/5,Miller Spectrum-875 Autolink Plasma Cutter,1000,1800,800,2022,145,"135lbs, 32x26x18",,,,,,,,,
5/12,Taper Shank Core Drill Bits 4-1 1/16 14-29/32,30,50,20,9/8/22,166,"25lbs, 16x12x7",,,,,,,,,
,Lot 2 6-Drawer Small Parts Cabinets,25,,,,,,,,,,,,,,
,Astd Transfer Punches,,5,,8/30/22,163,"4lbs, 9x6x6",,,,,,,,,
,32 Misc Straight Shank Reamers,,0,,8/16/22,167,"20lbs, 17x9x7",,,,,,,,,
,Astd Counterbores 12,,,,,194,"10lbs, 12x9x9",,,,,,,,,
,Astd Tapered Reamers 14,,,,,205,"18lbs, 20x9x9",,,,,,,,,
,Carbide Inserts,,,,,160,,Init Qty: 25,,,,,,,,
,,,,,,,,,,,,,,,,
,"Starrett 823E Box W/ 16, 17, 18 Rods",10,25,15,,129,"4lbs, 22x8x5",,,,,,,,,
,"Starrett 124C W/ Box, Head, and  2"" spacer, and 14-20, 20-26, 26-32",35,34,-1,,130,"6lbs, 29x7x4",,,,,,,,,
,Buyers Premium (18%),18,0,-18,,,,,,,,,,,,
,Tax,0,,,,,,,,,,,,,,
,Lot from Pat,60,107.99,47.99,,,,,,,,,,,,
,Misc Punches/Cold Chisels,,20.5,,5/2/34,274,"5lbs, 8x8x5",,,,,,,,,
,Misc Greenfield Taps and Dies,,46,,5/12/23,275,"10lbs, 10x8x6",,,,,,,,,
,Misc Machinist Tools,,35,,5/3/23,276,"11lbs, 12x8x6",,,,,,,,,
,Misc General Tools,,5.5,,5/3/23,277,"30lbs, 23x14x11",,,,,,,,,
,Rebel Rotozip + Accessories,,0.99,,4/5/23,272,"7lbs, 13x8x7",,,,,,,,,
?,Lot Misc. Planes,25,,,,,,,,,,,,,,
,Stanley Compass Plane,,,,,,,,,,,,,,,
?,"Starrett 124 2-12"" Inside Micrometer",,,,,128,"4lbs, 16x8x7",,,,,,,,,
,,,,,,,,,,,,,,,,
5/13,Lot Astd Grinding Wheels,30,,,,,,,,,,,,,,
,Jacobs 20N Chuck w/ MT4 Arbor w/ Key,70,160,90,5/18/22,142,"12lbs, 15x8x7",,,,,,,,,
,Dorian CXA QCTP W/ 4 holders,275,425,150,6/20/22,144,"26lbs, 16x12x7",,,,,,,,,
,Astd Hardinge 5C-adapting Expanding Collets,15,56,41,5/21/22,143,"8lbs, 12x8x8",,,,,,,,,
,Sunnen JN-95 Junior Portable Hone,150,300,150,5/20/22,140,"11lbs, 16x12x7",,,,,,,,,
,Sunnen AN-815 Heavy Duty Portable Hone,175,375,200,5/15/22,141,"12lbs,17x11x10",,,,,,,,,
,Lot Carbide Endmills,50,,,,,,,,,,,,,,
,I-R Air Rachet Wrench,60,145,85,7/13/22,161,"6lbs,17x9x7",,,,,,,,,
,Matco Manual Impact Driver Set,20,,,,,,,,,,,,,,
,"Diecraft 412 12"" C-Clamp",25,,,,,,,,,,,,,,
,"Diecraft 412 12"" C-Clamp",25,,,,,,,,,,,,,,
,Lot Craftsman Middle Tool Cabine W/ Misc tool cases,70,260,190,,,,,,,,,,,,
,Craftsman Quiet-Glide Middle Tool Cabinet,,250,,5/27/22,,"59lbs, 30x20x18",,,,,,,,,
,"Starrett 6"" Dial Caliper Case, CASE ONLY",,10,,9/15/22,172,"2lbs, 16x8x4",,,,,,,,,
,Astd Import Micrometer Cases (Cases Only),,0,,,195,"2lbs, 8x8x6 (1.2lbs)",Thrown Out,,,,,,,,
,Mitutoyo 147-351 Hub Micrometer (Case Only),,,,,196,"2lbs, 8x8x6 (0.9lbs)",,,,,,,,,
,,,,,,,,,,,,,,,,
,18%,173.7,0,-173.7,,,,,,,,,,,,
,Tax,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1138.7,1981,,,,,,,,,,,,,
5/24,Dorian AXA Quick Change Toolpost,125,,,,,,,,,,,,,,
5/29,Mitutoyo 7-8 Digit (Not digital),30,99,47.05,7/19/22,150,"8lbs, 18x13x5",,,,,,,,,
,"Mitutoyo 7"" Standard",21.95,,,,,,,,,,,,,,
6/7,Craftsman 3 1/2 ton floor jack Model 50145,30,,,,,,,,,,,,,,
,Seals for Craftsman 50145 jack,40,,,,,,,,,,,,,,
6/8,,,,,,,,,,,,,,,,
,Dewalt Hex-Drive Bit Set,10,,,,,,,,,,,,,,
,Craftsman Buffer,25,,,,,,,,,,,,,,
,Craftsman 6 Ton Jack Stand Pair,30,,,,,,,,,,,,,,
6/9,Lot Astd Combinaiton Wrenches (Husky and Superrench),20,29,9,,,,,,,,,,,,
