2020-09-05,Brown and Sharpe Magnetic Surface Gauge 7743 ,,,,,,,Starting Price: ,,
2020-09-05,Unmarked Magnetic Base,,,,,,,Starting Price: ,,
2020-09-05,Brown and Sharpe Small Surface Gague 620B,,,,,,,Starting Price: \,No Arm,,
2020-09-05,Unmarked Surface Gague,,,,,,,Starting Price: \,No Arm,,
2020-09-05,MHC Indicator Pointer Set,,,,,,,Starting Price: ,,
2020-09-05,Starrett Drive Pin Punch Set S565WB,,,,,,,Starting Price: ,,
2020-09-05,Starrett V-Block Set 271,,,,,,,Starting Price: ,,
2020-09-05,Unmarked V-Block 3.25\",,,,,,,Starting Price: ,,
2020-09-05,E Davis 30-60-90 Angle Plate,,,,,,,Starting Price: ,,
2020-09-05,E Davis 45-45-90 Angle Plate,,,,,,,Starting Price: ,,
2020-09-05,C Chandler 90 Angle Plate,,,,,,,Starting Price: ,,
2020-09-05,Drill Bit Index 1/16-1/2,,,,,,,Starting Price: ,,
2020-09-05,Drill Bit Index A-Z,,,,,,,Starting Price: ,,
2020-09-05,Drill Bit Index 1-60,,,,,,,Starting Price: ,,
2020-09-05,Drill Bit Index 1-60,,,,,,,Starting Price: ,,
2020-09-05,Brown and Sharpe Square 2.5\" 554,,,,,,,Starting Price: \,GET DIAG PIECE,,
2020-09-05,Brown and Sharpe Square (540?),,,,,,,Starting Price: ,,
2020-09-05,Lynn Machinists Square,,,,,,,Starting Price: ,,
2020-09-05,Craftsman Progractor 9-4029,,,,,,,Starting Price: \,W/ Sleeve,,
2020-09-05,Micro-Mark Toolmaker's Bench Block,,,,,,,Starting Price: ,,
2020-09-05,6 Misc. File,,,,,,,Starting Price: ,,
2020-09-05,2 Deburrer/Burnisher?,,,,,,,Starting Price: ,,
2020-09-05,2 Misc. Charts,,,,,,,Starting Price: ,,
2020-09-05,Asstd Set Screws,,,,,,,Starting Price: ,,
2020-09-05,Eclipse Dovetial Saw 45,,,,,,,Starting Price: ,,
2020-09-05,Disston Dovetial Saw 68,,,,,,,Starting Price: ,,
2020-09-05,Brown and Sharpe Feeler Gauge Set 647,,,,,,,Starting Price: ,,
2020-09-05,HSS Blanks ~18Lbs,,,,,,,Starting Price: ,,
2020-09-05,Stanley 136,,,,,,,Starting Price: ,,
2020-09-05,Letter Punch Set,,,,,,,Starting Price: ,,
2020-09-05,Edge Finder ,,,,,,,Starting Price: ,,
